"COD_INE";"ID_REL";"COD_GEO";"COD_PROV";"PROVINCIA";"NOMBRE_ACTUAL";"POBLACION_MUNI";"SUPERFICIE";"PERIMETRO";"COD_INE_CAPITAL";"CAPITAL";"POBLACION_CAPITAL";"HOJA_MTN25_ETRS89";"LONGITUD_ETRS89";"LATITUD_ETRS89";"ORIGENCOOR";"ALTITUD";"ORIGENALTITUD"
"01055000000";"1010552";"01510";"01";"Araba/Álava";"Valdegovía/Gaubea";996;23827.33;104431.00;"01055003001";"Villanueva de Valdegovía";"124";"0111-3";-3.09;42.84;"Mapa";552.00;"MDT5"
"01056000000";"1010565";"01520";"01";"Araba/Álava";"Harana/Valle de Arana";232;3912.18;37971.00;"01056000101";"Alda";"29";"0139-2";-2.33;42.75;"Mapa";812.00;"MDT5"
"01057000000";"1010571";"01530";"01";"Araba/Álava";"Villabuena de Álava/Eskuernaga";300;847.92;14014.00;"01057000101";"Villabuena de Álava/Eskuernaga";"300";"0170-4";-2.66;42.54;"Mapa";483.00;"MDT5"
"01058000000";"1010587";"01540";"01";"Araba/Álava";"Legutio";1800;4585.31;37334.00;"01058000601";"Legutio";"1290";"0112-2";-2.64;42.97;"Mapa";570.00;"MDT5"
"01059000000";"1010590";"01001";"01";"Araba/Álava";"Vitoria-Gasteiz";246976;27681.20;111412.00;"01059006301";"Vitoria-Gasteiz";"241976";"0112-4";-2.67;42.85;"Mapa";539.00;"MDT5"
"01060000000";"1010604";"01550";"01";"Araba/Álava";"Yécora/Iekora";270;1880.24;20919.00;"01060000101";"Yécora/Iekora";"270";"0171-3";-2.47;42.56;"Mapa";694.00;"MDT5"
"01061000000";"1010611";"01560";"01";"Araba/Álava";"Zalduondo";190;1187.86;21423.00;"01061000101";"Zalduondo";"189";"0113-4";-2.34;42.88;"Mapa";612.00;"MDT5"
"01062000000";"1010626";"01570";"01";"Araba/Álava";"Zambrana";383;3950.62;43865.00;"01062000401";"Zambrana";"297";"0169-2";-2.87;42.66;"Mapa";458.00;"MDT5"
"01063000000";"1010632";"01580";"01";"Araba/Álava";"Zuia";2316;12248.66;49689.00;"01063001101";"Murgia";"1112";"0112-1";-2.81;42.95;"Mapa";617.00;"MDT5"
"01901000000";"1019015";"01245";"01";"Araba/Álava";"Iruña Oka/Iruña de Oca";3264;5325.00;35113.00;"01901000201";"Nanclares de la Oca/Langraiz Oka";"2362";"0138-1";-2.81;42.81;"Mapa";502.00;"MDT5"
