"Province";"Name";"Population";"Longitude";"Latitude";"Autonomous_Community"
"Albacete";"Pozo Cañada";2800;-1.73;38.8;"País Vasco/Euskadi"
"Alacant/Alicante";"l'Atzúbia";664;-0.15;38.84;"País Vasco/Euskadi"
"Alacant/Alicante";"Agost";4703;-0.63;38.43;"País Vasco/Euskadi"
"Alacant/Alicante";"Agres";549;-0.51;38.78;"País Vasco/Euskadi"
"Alacant/Alicante";"Aigües";913;-0.36;38.49;"País Vasco/Euskadi"
"Alacant/Alicante";"Albatera";11850;-0.86;38.17;"País Vasco/Euskadi"
"Alacant/Alicante";"Alcalalí";1276;-0.04;38.74;"País Vasco/Euskadi"
"Alacant/Alicante";"Alcocer de Planes";230;-0.4;38.79;"País Vasco/Euskadi"
"Alacant/Alicante";"Alcoleja";185;-0.33;38.67;"País Vasco/Euskadi"
"Alacant/Alicante";"Alcoy/Alcoi";59106;-0.47;38.69;"País Vasco/Euskadi"
"Alacant/Alicante";"Alfafara";405;-0.55;38.77;"País Vasco/Euskadi"
"Alacant/Alicante";"l'Alfàs del Pi";18394;-0.1;38.58;"País Vasco/Euskadi"
"Alacant/Alicante";"Algorfa";2761;-0.79;38.08;"País Vasco/Euskadi"
"Alacant/Alicante";"Algueña";1372;-1;38.33;"País Vasco/Euskadi"
"Alacant/Alicante";"Alicante/Alacant";329988;-0.48;38.34;"País Vasco/Euskadi"
"Alacant/Alicante";"Almoradí";20332;-0.79;38.1;"País Vasco/Euskadi"
"Alacant/Alicante";"Almudaina";113;-0.35;38.76;"País Vasco/Euskadi"
"Alacant/Alicante";"l'Alqueria d'Asnar";496;-0.42;38.77;"País Vasco/Euskadi"
"Alacant/Alicante";"Altea";21813;-0.05;38.59;"País Vasco/Euskadi"
"Alacant/Alicante";"Aspe";20425;-0.76;38.34;"País Vasco/Euskadi"
"Alacant/Alicante";"Balones";128;-0.34;38.73;"País Vasco/Euskadi"
"Alacant/Alicante";"Banyeres de Mariola";7102;-0.65;38.71;"País Vasco/Euskadi"
"Alacant/Alicante";"Benasau";157;-0.34;38.68;"País Vasco/Euskadi"
"Alacant/Alicante";"Beneixama";1710;-0.76;38.7;"País Vasco/Euskadi"
